Code,Title,Type,Touchpoint,Ready,Notes
AI_ErrAccordionWithoutARIA,Accordion element \,Error (AI),Navigation,,
AI_ErrCarouselWithoutARIA,Carousel/slider \,Error (AI),Navigation,,
AI_ErrDropdownWithoutARIA,Dropdown menu \,Error (AI),Navigation,,
AI_ErrMissingInteractiveRole,Interactive {element_tag} element lacks appropriate ARIA role,Error (AI),Aria,,
AI_InfoContentOrder,AI_InfoContentOrder,Info (AI),Reading Order,,
AI_WarnPossibleReadingOrderIssue,AI_WarnPossibleReadingOrderIssue,Warning (AI),Reading Order,,
DiscoFoundInlineSvg,Inline SVG element detected that requires manual review to determine appropriate accessibility implementation based on its purpose and complexity,Discovery,Images,,
DiscoFoundSvgImage,SVG element with role=\,Discovery,Images,,
DiscoHeadingWithID,Heading element has an ID attribute that may be used for in-page navigation,Discovery,Headings,,
DiscoResponsiveBreakpoints,Responsive breakpoints detected on page,Discovery,Page,,
ErrAltOnElementThatDoesntTakeIt,Alt attribute placed on HTML elements that don\,Error,Images,,
ErrAltTooLong,"Alt text exceeds 150 characters, making it difficult for screen reader users to process",Error,Images,,
ErrAutoStartTimers,Timer starts automatically without user control to pause or stop,Error,Animation,,
ErrButtonEmpty,ErrButtonEmpty,Error,Buttons,,
ErrButtonNoText,ErrButtonNoText,Error,Buttons,,
ErrContentObscuring,Dialog/overlay obscures interactive content,Error,Focus Management,,
ErrDivMapMissingAttributes,Map container div is missing required accessibility attributes,Error,Maps,,
ErrDuplicateLandmarkWithoutName,Found {totalCount} {role} landmarks - this one lacks unique accessible name,Error,Landmarks,,
ErrDuplicateNavNames,Multiple navigation elements have identical accessible names,Error,Navigation,,
ErrEmptyHeading,Heading element contains only whitespace or special characters: \,Error,Headings,0.5,Specific content removed from accordion button
ErrEmptyLabel,Label element exists but contains no text,Error,Forms,,
ErrEmptyList,"List element (ul, ol, dl) contains no list items",Error,Lists,,
ErrEmptyPageTitle,Page title element is empty,Error,Page,,
